name;ring;quadrant;isNew;description
Apache Kafka para grandes volumes de dados;Adote;Ferramentas;TRUE;"<p>Pelos testes que fizemos e pelo que acompanhamos no mercado, o Kafka se mostrou bastante robusto, com uso bem forte na área de Data. Por essa ótima experiência de uso, a maioria das pessoas acabam sentindo a necessidade de adotá-lo, o que é normal e esperado. Porém, em alguns cenários específicos, por exemplo de baixa complexidade como a integração de sistemas, o uso do Kafka pode ser um ""tiro de canhão"". Soluções simples de fila de eventos ou até mesmo refatorar a aplicação para utilizar uma simples chamada http podem resolver. Não levar em consideração as complexidades de uma ferramenta de comunicação assíncrona pode levar a problemas. Já tivemos exemplos reais na Globo em que essa alta complexidade ""desnecessária"" impactou as entregas do time. Mesmo escolhendo seguir com a comunicação assíncrona, considere também ler o tópico sobre o Apache ActiveMQ para entender alguns trade-offs necessários. Para cenários em que existe a necessidade de se lidar com um alto volume de dados de forma assíncrona, recomendamos o ADOTE para o Kafka. </p>"
Redis (como cache);Adote;Ferramentas;TRUE;<p>Dividimos em recomendações: o Redis como banco de dados de persistência e o Redis como cache. Para o Redis enquanto cache, recomendamos adotar devido às nossas necessidades e às informações que precisamos armazenar. Para Redis enquanto banco de dados, embora ofereça uma infraestrutura de persistência, pode trazer muitas complexidades no desenvolvimento de paginações e queries que um banco de dados tradicional oferece. Assim, nesse cenário, recomendamos evitar. Quanto ao Redis como cache, recomendamos adotar, pois vemos um grande crescimento no uso em vários times da Globo, somente com experiências positivas.</p>
Análise estática de código na pipeline;Adote;Técnicas;TRUE;<p>Ferramentas como o Sonar são bastante importantes para detectar bugs, code smells, e vulnerabilidades de segurança. É bastante raro um caso em que a recomendação da ferramenta não é a melhor. A visibilidade que a ferramenta dá sobre a qualidade do projeto é essencial. Não só isso, vemos pouco ou quase nenhum motivo para não usar, visto que impacta positivamente a produtividade do time e da pipeline de CI. Exemplos de ferramentas que usamos para as linguagens mais comuns na Globo: ESLint para JavaScript, golint para go, flake8 para Python.</p>
Echo;Adote;Linguagens de Programação e Frameworks;TRUE;<p>O Echo é um framework de aplicação web minimalista de alta performance em Go, que permite desenvolver APIs e aplicativos web. Na Globo, utilizamos em alguns projetos e estamos tendo muitos feedbacks positivos como baixa complexidade de uso, principalmente para os times que desenvolvem em GoLang, como o Globo ID, entre outros. É importante salientar que devido à maturidade da tecnologia, ela acaba se sobrepondo em comparação a outras alternativas e que parte da adoção do echo nos times da Globo vem do fato de ter sido o primeiro framework difundido. Ainda não vemos motivo para mudar a recomendação para outras alternativas, mas continuaremos avaliando-as no futuro.</p>
Sentry;Adote;Ferramentas;TRUE;<p>O Sentry é usado como parte da nossa plataforma de monitoramento para rastreamento de erros, tanto no client como no backend. Boa parte dos nossos times fizeram uso e tivemos uma excelente experiência. </p>
Terraform;Adote;Ferramentas;TRUE;<p>O Terraform é uma ferramenta de provisionamento de infraestrutura como código muito utilizado no mercado e cuja experiência de uso tem se mostrado ótima. Essa sugestão é um forte Adote e representa bastante o caminho da empresa no futuro, principalmente com a migração para a nuvem do Google. Sentimos a necessidade de colocar essa sugestão não só pelos benefícios da ferramenta em si, mas também para sinalizar de forma clara essa direção. Hoje, grande parte da infraestrutura em uso é provisionada a partir de plataformas internas que abstraem a complexidade da nuvem sob aspectos de segurança, permissionamento, rede, etc. Estamos falando aqui de plataformas como o DbaaS, Tsuru, KaaS, entre outras. A maioria dessas plataformas internas continua e continuará existindo e o Terraform, por meio de seus providers customizados que a Globo está criando, irá atuar em cima delas para provisionar os recursos. Ou seja, teremos o melhor dos mundos: continuaremos com as plataformas que já conhecemos, teremos um infra-as-code com ferramentas modernas e não necessariamente estaremos fortemente ligados a nenhum provedor de nuvem específico. Esse é um passo que possibilitará a adoção mais abrangente de outros passos, como pipelines-for-infrastructure-as-code. Hoje, grande parte da infraestrutura em uso é provisionada a partir de plataformas internas que abstraem a complexidade da nuvem sob aspectos de segurança, permissionamento, rede, etc. Estamos falando aqui de plataformas como o DbaaS, Tsuru, KaaS, entre outras. A maioria dessas plataformas internas continua e continuará existindo e o Terraform, por meio de seus providers customizados que a Globo está criando, irá atuar em cima delas para provisionar os recursos. Ou seja, teremos o melhor dos mundos: continuaremos com as plataformas que já conhecemos, teremos um infra-as-code com ferramentas modernas e não necessariamente estaremos fortemente ligados a nenhum provedor de nuvem específico. Esse é um passo que possibilitará a adoção mais abrangente de outros passos, como pipelines-for-infrastructure-as-code.</p>
Prometheus;Adote;Ferramentas;TRUE;<p>Ferramenta bastante poderosa que usamos para monitoramento e alerta em tempo real. Vários de nossos times estão usando e, apesar de poderosa, ainda temos dificuldades em mantê-la com escalabilidade. O nosso time de devops é responsável por manter e escalar e, devido a alta demanda, o custo acaba diretamente afetado. Recomendamos adotar, porém, deixando clara a importância de ter um time de infraestrutura responsável por mantê-la.</p>
MySQL;Adote;Plataformas;TRUE;<p>O MySQL possui forte utilização na Globo e boa experiência de uso. Contudo, é importante avaliar o uso de outras soluções para problemas em que a performance é mandatória. Não estamos dizendo que o MySQL não apresenta boa performance mas, especialmente quanto à performance de escrita, ele possui certa limitação a nível de escala, o que não ocorre em relação à performance de leitura, na qual a escalabilidade consegue acontecer. É importante salientar que a necessidade da Globo de escalabilidade é alta, especialmente em produtos dinâmicos como o Globoplay, Continue Watching API, Cartola, entre outros. Para esse tipo de cenário, talvez o uso do MongoDB ou Cassandra sejam mais recomendados (o que fizer mais sentido para o caso de uso, não necessariamente essas opções), pois possuem capacidade superior para escalar dados. </p>
SRE;Adote;Técnicas;TRUE;<p>Site reliability engineering (SRE) é um conjunto de princípios e práticas que incorporam aspectos de engenharia de software e os aplica a problemas de infraestrutura e operação. Os principais objetivos são criar sistemas de software escaláveis e altamente disponíveis. Segundo o Google, SRE pode ser descrito como uma implementação específica dos conceitos de DevOps. Além dos benefícios diretos da adoção, entendemos que os princípios e práticas auxiliam, por meio de critérios claros e objetivos acordados entre produto, gestão e desenvolvimento, no processo decisório entre o desenvolvimento de novas features e o investimento na resiliência dos projetos. Aqui na Globo, há um time de infraestrutura de SRE que fomenta e promove a cultura de SRE e que auxilia os times de desenvolvimento na implementação e adoção dos princípios e práticas.</p>
DBaaS da Globo;Adote;Plataformas;TRUE;<p>É a plataforma oficial de provisionamento de banco de dados que usamos na Globo. </p>
